subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
000,593,2,2,2,2,1,386,left
000,594,2,2,1,4,1,358,left
000,595,2,2,1,3,1,416,left
000,596,1,1,1,2,1,345,left
000,597,0,0,1,5,2,416,right
000,598,2,2,1,2,1,417,left
000,599,2,2,2,2,1,435,left
000,600,1,2,2,3,1,366,left
000,601,1,1,2,4,2,450,right
000,602,2,1,2,3,1,391,left
000,603,0,0,1,4,2,484,right
000,604,1,2,1,2,1,327,left
000,605,2,1,1,1,1,401,left
000,606,2,1,1,3,1,393,left
000,607,1,2,2,4,2,406,right
000,608,1,1,2,5,2,397,right
000,609,1,2,1,3,1,427,left
000,610,0,0,2,5,2,445,right
000,611,2,2,2,3,1,426,left
000,612,1,2,1,5,2,445,right
000,613,1,1,1,3,1,393,left
000,614,1,2,1,1,1,407,left
000,615,2,2,2,1,1,391,left
000,616,1,2,1,4,2,405,right
000,617,2,1,1,5,1,374,left
000,618,2,2,1,2,1,367,left
000,619,0,0,1,3,1,568,left
000,620,1,2,2,2,2,591,right
000,621,2,2,2,2,1,395,left
000,622,2,2,2,3,1,768,left
000,623,0,0,2,2,1,478,left
000,624,1,2,2,3,1,416,left
000,625,1,2,1,3,1,464,left
000,626,1,2,1,4,1,433,left
000,627,1,1,2,1,1,486,left
000,628,1,1,1,1,1,441,left
000,629,1,1,1,4,1,399,left
000,630,0,0,1,1,1,430,left
000,631,1,2,1,1,1,624,left
000,632,1,1,1,4,1,672,left
000,633,1,1,1,5,1,479,left
000,634,1,1,2,3,2,537,right
000,635,0,0,2,3,1,486,left
000,636,2,1,1,1,1,474,left
000,637,1,2,2,4,1,773,left
000,638,2,2,1,3,1,622,left
000,639,2,2,1,5,2,416,right
000,640,0,0,1,5,2,544,right
000,641,2,1,2,4,2,542,right
000,642,2,1,1,2,1,450,left
000,643,2,2,2,4,2,433,right
000,644,1,1,1,4,1,740,left
000,645,2,1,2,5,2,384,right
000,646,1,2,2,2,1,670,left
000,647,1,2,1,1,1,654,left
000,648,0,0,2,1,1,549,left
000,649,1,1,2,3,2,460,right
000,650,2,2,2,1,1,459,left
000,651,2,2,1,1,1,569,left
000,652,1,1,1,2,1,417,left
000,653,2,1,2,4,2,554,right
000,654,1,1,2,5,1,570,left
000,655,2,2,1,1,1,505,left
000,656,1,2,2,1,2,366,right
000,657,0,0,1,2,1,465,left
000,658,0,0,2,1,1,418,left
000,659,2,1,2,1,1,378,left
000,660,1,2,2,5,2,382,right
000,661,0,0,2,1,1,482,left
